time,open,high,low,close,volume
2024-07-29,98.79,99.25,98.03,98.03,4867859
2024-07-30,98.03,98.41,96.51,97.27,2383126
2024-07-31,96.74,97.73,96.21,97.73,2875191
2024-08-01,98.49,98.56,94.31,94.84,6904015
2024-08-02,92.79,94.84,91.95,93.62,9975015
2024-08-05,92.03,93.4,89.22,90.13,10450171
2024-08-06,91.19,92.64,91.04,91.8,6748144
2024-08-07,91.95,92.71,91.34,92.71,2832328
2024-08-08,92.41,93.02,91.88,92.26,2663832
2024-08-09,93.02,96.44,92.71,96.44,5511755
2024-08-12,96.44,98.94,95.9,98.79,6204408
2024-08-13,98.56,98.94,97.27,98.56,4110939
2024-08-14,99.32,99.93,98.41,98.41,2869469
2024-08-15,98.11,98.41,97.42,97.8,2266445
2024-08-16,98.11,99.55,98.11,99.25,5109223
2024-08-19,99.63,99.85,98.79,99.17,2508560
2024-08-20,99.32,100.69,99.32,99.93,3753490
2024-08-21,99.25,101.68,99.25,101.45,6137230
2024-08-22,101.83,102.21,101.45,101.68,3032995
2024-08-23,101.6,101.6,100.61,101.15,3064441
2024-08-26,101.3,101.45,99.93,99.93,2598875
2024-08-27,99.93,100.77,99.09,100.69,2346895
2024-08-28,101.07,102.21,100.99,101.3,2721387
2024-08-29,100.92,101.68,100.46,101.6,2098979
2024-08-30,101.45,102.51,101.07,102.44,3327420
2024-09-04,101.07,101.07,99.93,101.07,4547807
2024-09-05,101.07,101.07,98.56,99.25,8071651
2024-09-06,99.17,100.99,99.02,100.39,3829410
2024-09-09,99.4,100.23,98.87,99.78,2891093
2024-09-10,99.55,99.55,98.49,98.79,4203583
2024-09-11,98.79,99.78,98.64,99.25,3196732
2024-09-12,99.55,100.69,99.55,100.54,4124400
2024-09-13,100.46,101.37,100.31,101.07,3191984
2024-09-16,100.16,101.07,99.63,99.63,1921844
2024-09-17,99.7,100.99,99.7,100.99,2656869
2024-09-18,101.37,102.74,100.99,102.29,5390349
2024-09-19,102.59,103.2,102.06,102.74,5162767
2024-09-20,103.58,104.11,102.59,102.82,3728818
2024-09-23,103.27,103.27,101.37,101.83,2449563
2024-09-24,101.83,102.36,101.6,102.21,2017214
2024-09-25,102.06,102.44,101.53,102.44,4486319
2024-09-26,102.59,102.59,101.75,102.06,2821536
2024-09-27,102.06,102.13,101.45,101.98,3358474
2024-09-30,101.98,102.21,101.07,102.21,3037449
2024-10-01,102.36,103.5,102.36,103.27,4732079
2024-10-02,102.29,103.27,102.29,102.89,1725815
2024-10-03,102.89,103.43,101.83,101.83,2306560
2024-10-04,102.06,102.44,101.45,101.91,1473158
2024-10-07,101.98,102.51,101.53,101.91,1336595
2024-10-08,101.91,102.67,101.53,101.68,2114750
2024-10-09,102.06,103.2,102.06,102.89,2626409
2024-10-10,103.2,107.91,103.2,107.68,9980507
2024-10-11,107.91,108.52,106.09,106.09,3824418
2024-10-14,107.23,107.38,104.19,104.57,5616349
2024-10-15,104.57,105.33,103.81,104.11,2869640
2024-10-16,103.65,104.19,103.35,103.58,2762322
2024-10-17,103.73,104.19,102.97,104.11,2584896
2024-10-18,104.41,104.72,103.81,104.11,2175065
2024-10-21,104.11,104.64,102.97,102.97,2688428
2024-10-22,103.12,103.12,101.07,101.15,6022016
2024-10-23,100.99,102.44,100.77,101.98,3019672
2024-10-24,101.98,102.06,101.68,102.06,2281798
2024-10-25,102.06,102.29,101.53,101.83,1843711
2024-10-28,101.91,102.59,101.53,102.51,1509996
2024-10-29,102.89,102.97,102.44,102.89,2462885
2024-10-30,102.89,103.27,102.74,103.27,1713550
2024-10-31,103.27,103.35,102.82,103.27,1244928
2024-11-01,102.59,102.59,101.53,102.29,2676189
2024-11-04,102.29,102.29,100.84,100.92,3188263
2024-11-05,101.07,101.83,100.54,100.77,1663185
2024-11-06,101.15,102.29,101.07,102.29,1805646
2024-11-07,102.82,104.57,101.98,102.67,3579749
2024-11-08,103.43,103.96,102.67,103.2,2110766
2024-11-11,103.73,106.01,103.35,105.1,5301235
2024-11-12,105.33,105.55,103.27,103.96,2921656
2024-11-13,103.88,104.95,103.43,104.72,3460835
2024-11-14,104.79,106.31,103.35,103.35,4743684
2024-11-15,102.82,103.12,100.77,101.75,6574421
2024-11-18,101.83,102.29,100.69,101.83,3910975
2024-11-19,101.45,101.53,98.71,98.79,7652727
2024-11-20,98.79,100.61,96.28,100.61,8474055
2024-11-21,100.61,101.07,99.55,101.07,3183165
2024-11-22,100.99,102.13,100.69,101.75,2920914
2024-11-25,101.83,101.83,101.22,101.75,1855059
2024-11-26,101.37,103.27,101.3,102.74,4182343
2024-11-27,102.74,106.16,102.74,105.55,9826373
2024-11-28,105.93,106.39,105.1,105.93,4750858
2024-11-29,105.93,110.49,105.63,109.66,11617080
2024-12-02,110.42,111.72,108.35,108.81,6629554
2024-12-03,108.43,111.64,108.43,110.96,5115471
2024-12-04,110.96,111.95,109.27,109.81,5618586
2024-12-05,110.19,113.63,109.88,113.63,4862983
2024-12-06,116.24,116.24,113.25,114.4,4554818
2024-12-09,114.17,114.4,111.8,112.49,4551406
2024-12-10,112.56,114.4,112.49,114.4,3603755
2024-12-11,114.78,116.08,114.55,115.16,4828035
2024-12-12,116.24,116.24,114.17,114.93,4158310
2024-12-13,114.4,115.47,114.32,114.4,3387167
2024-12-16,114.48,115.24,114.4,114.7,3296592
2024-12-17,114.86,115.16,113.02,113.25,5958677
2024-12-18,113.25,114.63,113.25,113.79,2927454
2024-12-19,112.72,114.02,112.64,113.33,4811922
2024-12-20,113.63,115.24,113.48,114.4,3544255
2024-12-23,114.4,114.7,113.79,114.63,2520029
2024-12-24,114.78,115.39,114.32,115.09,2306686
2024-12-25,115.24,115.7,115.09,115.39,2517969
2024-12-26,115.55,115.85,114.09,114.63,2238343
2024-12-27,114.4,114.7,113.79,114.48,2567003
2024-12-30,114.32,115.39,113.63,115.16,1986819
2024-12-31,115.32,117.77,115.01,116.69,3612655
2025-01-02,116.69,116.85,114.86,116.31,3179535
2025-01-03,115.78,115.78,114.02,114.02,4342125
2025-01-06,114.09,114.93,113.56,114.25,3472044
2025-01-07,114.4,115.78,114.4,114.86,3458671
2025-01-08,114.78,114.78,113.33,113.48,3886957
2025-01-09,113.48,114.17,113.25,113.86,1724571
2025-01-10,113.86,114.09,112.64,112.72,2531304
2025-01-13,111.8,113.63,110.73,112.94,3495883
2025-01-14,112.94,113.25,111.03,111.03,2910614
2025-01-15,111.72,112.1,110.8,111.34,2849518
2025-01-16,111.87,112.49,111.11,112.1,3577267
2025-01-17,112.18,114.86,111.72,114.02,3543613
2025-01-20,114.02,115.09,113.4,114.78,2222776
2025-01-21,115.16,115.85,114.02,114.7,2487666
2025-01-22,114.48,115.24,114.17,114.55,2791445
2025-01-23,114.86,119.37,114.78,118.07,7071025
2025-01-24,117.92,118.22,117.38,117.38,3663137
2025-02-03,113.25,114.17,111.18,111.34,12782345
2025-02-04,111.72,112.49,111.18,111.87,5484258
2025-02-05,112.41,112.87,111.57,111.95,5215921
2025-02-06,112.49,112.72,111.41,112.1,3436430
2025-02-07,112.1,112.26,111.57,111.8,3871195
2025-02-10,111.34,111.34,108.66,108.66,7778331
2025-02-11,108.81,111.26,107.21,111.26,5374143
2025-02-12,111.41,111.49,110.42,110.96,1894041
2025-02-13,110.96,110.96,109.2,109.5,2864744
2025-02-14,110.19,110.96,109.88,110.88,3258612
2025-02-17,110.96,110.96,109.73,109.88,2476462
2025-02-18,110.04,110.5,109.5,110.11,1670138
2025-02-19,110.11,110.88,109.5,110.19,3035921
2025-02-20,110.34,110.65,109.43,109.43,3392942
2025-02-21,109.27,109.35,108.28,108.66,5328132
2025-02-24,108.66,108.66,106.75,107.51,7522473
2025-02-25,107.44,107.44,105.75,106.36,6832220
2025-02-26,106.44,108.51,106.29,108.51,3331505
2025-02-27,108.66,108.81,107.67,108.12,3433107
2025-02-28,107.21,107.97,106.36,107.36,4704828
2025-03-03,107.51,108.2,107.36,107.51,2546980
2025-03-04,106.75,107.59,106.59,107.13,3480042
2025-03-05,107.13,107.21,106.44,106.44,2862185
2025-03-06,106.75,109.81,106.75,108.35,6428376
2025-03-07,108.43,109.2,107.97,108.2,2966941
2025-03-10,108.28,108.28,106.52,106.59,5343134
2025-03-11,105.6,105.98,104.83,105.22,5801595
2025-03-12,105.37,106.13,103.99,103.99,6229823
2025-03-13,104.15,105.6,104.15,104.45,3630282
2025-03-14,103.76,104.3,100.09,100.55,16174178
2025-03-17,100.7,101.08,99.17,99.48,6750806
2025-03-18,99.55,101.16,99.48,99.48,5538119
2025-03-19,99.55,99.94,94.5,95.35,18229064
2025-03-20,95.35,97.03,95.27,95.65,8231543
2025-03-21,95.65,98.71,95.65,97.95,6450846
2025-03-24,98.33,98.94,97.41,98.71,5114180
2025-03-25,99.32,99.4,96.8,96.8,5662235
2025-03-26,96.8,96.8,93.89,94.12,9787345
2025-03-27,93.36,96.8,92.67,96.57,6486187
2025-03-28,96.49,96.72,94.89,94.89,2959445
2025-03-31,94.43,94.43,92.59,92.59,5435725
2025-04-01,93.36,93.51,90.91,92.21,7866837
2025-04-02,92.74,93.59,92.44,93.36,3932911
2025-04-03,87.77,89.99,86.85,86.85,11536434
2025-04-04,80.81,87.16,80.81,86.47,21606397
2025-04-08,81.11,82.64,80.42,80.42,16338312
2025-04-09,74.84,82.64,74.84,80.58,16920135
2025-04-10,86.16,86.16,86.16,86.16,1009422
2025-04-11,89.53,90.68,87.46,90.68,19273397
2025-04-14,91.83,91.83,87.23,90.68,9243738
2025-04-15,88.84,89.53,87.0,88.76,7787164
2025-04-16,87.62,88.69,82.57,82.57,18073930
2025-04-17,80.35,85.17,80.27,83.71,8598000
2025-04-18,84.56,88.0,84.56,85.4,7503525
2025-04-21,85.7,86.09,84.17,85.47,4346403
2025-04-22,84.94,85.09,79.58,84.48,9157581
2025-04-23,85.47,85.47,82.41,84.48,5722250
2025-04-24,85.32,87.0,84.63,85.7,7752762
2025-04-25,85.7,86.01,84.33,86.01,5395660
2025-04-28,85.7,86.01,83.56,83.79,3871885
2025-04-29,83.87,84.56,83.48,83.71,2963086
2025-05-05,83.79,83.94,81.8,83.1,7187087
2025-05-06,83.1,84.94,83.1,83.94,5700105
2025-05-07,83.87,85.09,83.33,83.94,3939067
2025-05-08,84.48,87.69,83.41,87.46,12669001
2025-05-09,87.46,89.07,86.85,88.76,8515499
2025-05-12,89.53,90.83,89.3,90.52,8737998
2025-05-13,91.83,92.05,90.75,91.44,8585153
2025-05-14,91.83,96.65,91.83,96.65,12115033
2025-05-15,96.8,97.11,94.58,95.65,7832064
2025-05-16,95.27,95.42,92.51,92.59,8039229
2025-05-19,90.91,92.21,89.22,90.45,9942512
2025-05-20,89.38,91.29,89.38,91.21,7929467
2025-05-21,91.83,91.83,89.53,90.52,6040245
