time,open,high,low,close,volume
2024-01-09,63.93,64.1,63.18,63.18,893745
2024-01-10,63.43,63.6,62.85,62.85,1028605
2024-01-11,63.01,63.35,62.85,63.26,494998
2024-01-12,63.35,63.35,62.43,62.52,810531
2024-01-15,62.85,63.18,62.85,63.01,441634
2024-01-16,62.85,63.01,62.43,62.93,458019
2024-01-17,63.26,63.26,62.52,62.6,832372
2024-01-18,62.6,62.93,62.6,62.68,413905
2024-01-19,62.85,63.85,62.77,63.85,1005255
2024-01-22,64.01,64.01,63.43,63.51,483613
2024-01-23,63.6,63.85,63.26,63.35,763584
2024-01-24,63.35,63.6,63.01,63.1,480111
2024-01-25,63.1,63.35,62.77,62.77,548469
2024-01-26,63.26,63.68,62.6,62.6,729607
2024-01-29,62.68,63.85,62.68,63.76,925756
2024-01-30,63.35,63.76,63.35,63.6,505114
2024-01-31,63.68,63.68,62.77,62.77,596405
2024-02-01,62.85,63.01,62.68,62.85,515096
2024-02-02,63.18,63.18,62.6,62.6,675701
2024-02-05,62.6,63.1,62.52,62.6,639823
2024-02-06,62.85,63.18,62.77,63.01,797157
2024-02-07,63.01,63.1,62.85,63.01,474821
2024-02-15,63.1,63.26,63.01,63.01,550505
2024-02-16,63.01,64.1,63.01,63.76,1014786
2024-02-19,64.18,66.18,64.1,66.01,2377258
2024-02-20,66.18,66.34,65.1,65.43,1008894
2024-02-21,65.43,65.43,64.51,64.68,1113168
2024-02-22,64.93,65.51,64.51,64.85,1038459
2024-02-23,65.01,65.18,63.6,63.6,1956755
2024-02-26,63.68,63.93,63.1,63.43,1095850
2024-02-27,63.68,64.76,63.43,64.6,1155596
2024-02-28,64.93,65.93,64.68,64.93,1572323
2024-02-29,65.35,65.35,64.26,64.43,1256967
2024-03-01,64.76,64.76,64.35,64.6,991978
2024-03-04,64.76,65.35,64.68,64.76,1139213
2024-03-05,64.93,65.93,64.76,65.76,2071718
2024-03-06,66.09,67.93,66.09,66.68,2291595
2024-03-07,66.76,67.18,66.26,66.93,1249300
2024-03-08,67.43,67.93,66.18,66.18,2107122
2024-03-11,66.18,66.18,64.76,64.76,1479764
2024-03-12,64.76,65.35,64.68,64.85,1175867
2024-03-13,65.26,65.93,64.93,65.76,1231885
2024-03-14,66.34,67.76,66.09,67.43,3839884
2024-03-15,67.68,69.01,67.18,68.51,2401677
2024-03-18,68.51,69.01,66.51,66.76,2496172
2024-03-19,67.43,67.43,66.34,66.34,951753
2024-03-20,66.59,67.59,66.26,67.43,1463589
2024-03-21,68.18,68.18,67.01,67.43,939783
2024-03-22,67.43,67.84,66.93,67.01,1236323
2024-03-25,67.01,67.76,66.68,66.93,973961
2024-03-26,67.01,67.34,66.59,67.18,597363
2024-03-27,67.59,68.01,66.68,66.84,848150
2024-03-28,66.93,67.18,66.51,66.84,775755
2024-03-29,67.09,67.59,66.76,66.76,617449
2024-04-01,66.76,67.18,66.43,67.09,749279
2024-04-02,66.93,68.76,66.51,68.68,1743848
2024-04-03,68.68,69.42,68.09,68.09,1763920
2024-04-04,68.26,68.59,67.51,67.84,753029
2024-04-05,67.43,69.26,66.93,67.34,1386347
2024-04-08,67.43,67.43,66.43,66.43,676601
2024-04-09,66.59,67.01,66.18,66.51,624419
2024-04-10,66.51,67.01,65.93,65.93,638713
2024-04-11,65.68,66.01,65.43,65.6,646286
2024-04-12,65.76,66.43,65.6,66.34,360618
2024-04-15,66.51,67.09,61.77,63.26,1097958
2024-04-16,63.43,64.01,62.43,63.26,1117067
2024-04-17,63.43,63.68,62.52,62.52,651625
2024-04-19,62.52,63.43,62.18,62.43,885443
2024-04-22,62.6,62.93,62.35,62.43,820723
2024-04-23,62.85,62.85,61.6,61.77,476240
2024-04-24,62.43,62.43,61.85,62.1,853125
2024-04-25,62.1,62.35,61.6,61.6,789526
2024-04-26,61.52,61.77,61.18,61.18,775211
2024-05-02,60.77,61.85,60.77,61.52,692637
2024-05-03,61.68,62.1,61.52,61.77,515373
2024-05-06,62.02,62.6,62.02,62.27,891544
2024-05-07,62.77,63.51,62.18,63.51,1497374
2024-05-08,63.6,64.6,62.6,64.43,1384473
2024-05-09,64.51,64.51,63.35,63.35,773816
2024-05-10,63.51,63.93,62.35,62.85,652537
2024-05-13,63.18,63.35,62.43,62.6,631673
2024-05-14,62.85,63.18,62.35,62.6,786204
2024-05-15,62.6,63.1,62.35,62.85,883985
2024-05-16,63.26,63.68,63.18,63.18,1117717
2024-05-17,63.43,63.43,62.85,63.01,966114
2024-05-20,63.35,63.93,63.26,63.26,1111690
2024-05-21,63.43,64.6,63.26,63.85,1699128
2024-05-22,64.35,64.35,63.68,63.76,833355
2024-05-23,63.76,66.51,63.6,66.51,3992143
2024-05-24,67.01,67.84,64.76,65.76,2575031
2024-05-27,65.76,67.68,65.01,67.43,2135887
2024-05-28,68.26,68.59,67.43,68.18,2234999
2024-05-29,69.09,70.34,67.51,68.43,3696102
2024-05-30,68.18,68.51,66.68,67.51,2358041
2024-05-31,67.84,68.01,66.68,66.68,1430852
2024-06-03,67.34,68.01,66.93,66.93,1707173
2024-06-04,66.93,68.18,66.84,67.26,1516688
2024-06-05,67.34,68.43,67.09,67.09,1782747
2024-06-06,67.84,67.84,66.76,66.84,1057364
2024-06-07,67.01,67.43,66.84,66.84,875131
2024-06-10,67.26,67.43,66.84,66.84,1116685
2024-06-11,67.18,67.93,66.84,66.84,2393983
2024-06-12,67.01,67.43,66.68,66.93,1338297
2024-06-13,67.43,67.43,66.76,66.76,1404329
2024-06-14,66.76,67.09,65.76,65.76,2279755
2024-06-17,65.76,66.01,64.6,64.6,1253152
2024-06-18,64.93,65.76,64.93,64.93,939481
2024-06-19,65.1,65.6,64.85,65.1,994747
2024-06-20,65.51,65.68,64.93,64.93,832465
